#{"t_start": 1747577978.1583893, "env_id": "KukaBulletEnv-v0"}
r,l,t,success
-609.664503,966,1099.975924,False
-1258.353861,1000,1101.598241,False
-709.914005,893,1102.755943,False
-1274.257389,809,1104.59017,False
-967.109667,886,1105.658715,False
-1072.142777,815,1106.609737,False
-863.112394,864,1108.407863,False
-1135.564966,1000,1109.127291,False
-765.789632,835,1111.010223,False
-596.483819,960,1112.276405,False
-770.01765,913,1114.263335,False
-481.691312,907,1115.299501,False
-957.959962,1000,1116.838407,False
-673.960368,944,1117.889536,False
-731.691751,947,1119.865977,False
-787.658383,827,1120.996357,False
-718.687816,883,1122.116433,False
-888.3972,863,1124.189588,False
-1044.207751,907,1125.262571,False
-1147.925118,867,1127.135501,False
-630.78933,832,1128.196318,False
-533.515303,813,1129.22502,False
-889.512401,930,1131.190722,False
-700.023504,871,1132.284496,False
-671.145929,820,1134.149648,False
-662.873645,955,1135.268523,False
-525.917228,894,1137.22665,False
-424.778199,842,1138.280807,False
-874.810922,915,1140.348502,False
-1183.421352,940,1141.473091,False
-711.192471,1000,1142.223448,False
-1238.834883,882,1144.231663,False
-1116.461591,923,1145.299198,False
-964.751561,829,1147.213227,False
-899.839486,912,1148.242098,False
-620.135816,1000,1149.849597,False
-1129.942731,957,1151.039388,False
-802.718404,936,1152.922453,False
-902.196973,951,1154.008095,False
-853.81482,896,1155.963425,False
-835.748099,953,1157.027617,False
-1086.177101,918,1158.048686,False
-514.319597,863,1159.903218,False
-642.360059,846,1160.971983,False
-605.018279,829,1162.850805,False
-786.051387,868,1163.918551,False
-991.818338,1000,1165.45805,False
-1006.854095,935,1166.560815,False
-1040.125143,902,1167.65163,False
-1160.210919,900,1169.541428,False
-813.404743,1000,1170.260616,False
-935.262338,943,1172.196837,False
-957.383243,906,1173.360364,False
-1135.199464,906,1175.291797,False
-683.238941,834,1176.287987,False
-868.162279,846,1178.184497,False
-451.005213,816,1179.209545,False
-740.956417,857,1180.273971,False
-1059.516963,885,1182.119239,False
-719.071481,831,1183.210816,False
-465.380592,860,1185.147754,False
-479.924396,826,1186.183458,False
-759.476877,857,1187.187457,False
-1182.345149,1000,1188.661491,False
-1463.701621,1000,1189.394808,False
-1059.669089,900,1191.543573,False
-843.655167,854,1192.574487,False
-824.555326,861,1194.465316,False
-909.041797,839,1195.567037,False
-829.242909,848,1197.49069,False
-729.338674,846,1198.498867,False
-1035.308124,902,1199.595618,False
-674.966008,1000,1201.21892,False
-542.291763,875,1202.299891,False
-975.028223,900,1204.285556,False
-1159.858784,1000,1205.020376,False
-1094.095477,1000,1206.636891,False
-1024.286371,904,1207.852019,False
-464.918997,871,1209.769361,False
-708.559945,864,1210.872047,False
-731.250342,951,1212.050154,False
-819.099347,818,1213.795014,False
